neighbourhood,assaults,break_and_enters,drug_arrests,hazardous_incidents,sexual_assaults,thefts,total_major_crime_incidents,vehicle_thefts
Waterfront Communities-The Island,892,139,148,272,41,17,1393,61
West Humber-Clairville,390,175,62,210,68,54,1119,288
Bay Street Corridor,554,129,108,179,47,29,1017,26
Church-Yonge Corridor,535,143,99,257,60,13,1006,31
Downsview-Roding-CFB,402,187,126,233,50,8,981,128
Moss Park,371,116,302,215,36,5,921,27
Kensington-Chinatown,369,166,197,146,25,14,869,29
Islington-City Centre West,268,207,71,249,37,23,853,188
Woburn,412,128,77,223,29,7,808,45
York University Heights,282,150,56,186,49,16,776,122
West Hill,387,102,87,142,52,3,749,46
Dovercourt-Wallace Emerson-Juncti,275,162,127,228,55,8,743,62
Glenfield-Jane Heights,299,84,117,197,72,4,734,37
Malvern,319,118,81,161,37,3,729,51
Mount Olive-Silverstone-Jamestown,316,61,90,176,75,7,690,62
South Riverdale,276,182,89,231,21,9,660,35
South Parkdale,333,64,140,168,16,9,634,29
Wexford/Maryvale,307,132,60,165,23,8,620,41
Annex,272,155,33,257,46,20,604,39
Clairlea-Birchmount,285,116,38,156,24,8,583,66
Black Creek,242,75,90,169,36,4,572,59
Weston,278,45,89,138,35,8,554,32
Yorkdale-Glen Park,181,67,60,128,11,14,551,137
Bendale,232,93,51,129,25,10,546,70
Rouge,170,134,33,179,30,14,534,91
Eglinton East,239,88,48,111,17,10,492,23
Willowdale East,201,160,18,191,23,10,485,37
Scarborough Village,226,93,31,94,31,3,474,27
East End-Danforth,252,102,46,146,15,4,468,10
Mimico,201,139,52,172,14,9,466,35
Kennedy Park,225,78,48,105,20,8,461,23
Don Valley Village,174,123,34,102,18,10,449,50
Parkwoods-Donalda,177,106,34,151,10,4,423,41
Dorset Park,179,88,39,110,20,7,419,30
Niagara,241,46,64,124,25,8,417,17
Birchcliffe-Cliffside,208,105,26,132,4,9,411,20
O'Connor-Parkview,264,43,34,125,21,7,409,15
Rockcliffe-Smythe,182,68,50,112,29,5,404,39
North Riverdale,227,79,27,75,19,0,402,10
Newtonbrook West,140,127,19,108,17,8,392,36
Greenwood-Coxwell,183,96,30,98,18,2,392,21
Roncesvalles,192,75,74,134,13,4,386,10
Agincourt South-Malvern West,141,110,20,66,24,5,380,36
Englemount-Lawrence,147,82,17,140,19,5,376,27
Oakridge,169,91,55,97,13,4,376,14
Bedford Park-Nortown,71,219,4,192,4,18,375,42
Brookhaven-Amesbury,143,58,33,86,52,6,371,47
L'Amoreaux,116,112,35,118,8,7,367,21
Trinity-Bellwoods,165,67,62,135,19,2,361,22
Mount Pleasant West,164,93,24,142,19,2,355,18
